variable,block,source,item_de,item_en,measurement,code,value_de,value_en,n,pct,derivation,missing,used_in,notes
federal_state,Structural,raw column 9,In welchem Bundesland sind Sie tätig?,In which federal state do you practise?,"Nominal, 16 categories",,Baden-Württemberg,Baden-Württemberg,50,15.62,Single choice from the 16 German federal states.,None in the analytical sample.,"Section 4.1, chi-square goodness-of-fit test against Bundesärztekammer (2026); federal_state_distribution.csv.",Low-frequency states are grouped for publication in line with the aggregation rules in federal_state_distribution.csv. No federal state enters the regression models. The response option is spelled 'Sachen-Anhalt' in the questionnaire and therefore in the export; it denotes Sachsen-Anhalt and is left uncorrected so that the released file matches the instrument.
federal_state,Structural,raw column 9,In welchem Bundesland sind Sie tätig?,In which federal state do you practise?,"Nominal, 16 categories",,Niedersachsen,Niedersachsen,28,8.75,Single choice from the 16 German federal states.,None in the analytical sample.,"Section 4.1, chi-square goodness-of-fit test against Bundesärztekammer (2026); federal_state_distribution.csv.",Low-frequency states are grouped for publication in line with the aggregation rules in federal_state_distribution.csv. No federal state enters the regression models. The response option is spelled 'Sachen-Anhalt' in the questionnaire and therefore in the export; it denotes Sachsen-Anhalt and is left uncorrected so that the released file matches the instrument.
federal_state,Structural,raw column 9,In welchem Bundesland sind Sie tätig?,In which federal state do you practise?,"Nominal, 16 categories",,Sachsen,Sachsen,22,6.88,Single choice from the 16 German federal states.,None in the analytical sample.,"Section 4.1, chi-square goodness-of-fit test against Bundesärztekammer (2026); federal_state_distribution.csv.",Low-frequency states are grouped for publication in line with the aggregation rules in federal_state_distribution.csv. No federal state enters the regression models. The response option is spelled 'Sachen-Anhalt' in the questionnaire and therefore in the export; it denotes Sachsen-Anhalt and is left uncorrected so that the released file matches the instrument.
federal_state,Structural,raw column 9,In welchem Bundesland sind Sie tätig?,In which federal state do you practise?,"Nominal, 16 categories",,Rheinland-Pfalz,Rheinland-Pfalz,20,6.25,Single choice from the 16 German federal states.,None in the analytical sample.,"Section 4.1, chi-square goodness-of-fit test against Bundesärztekammer (2026); federal_state_distribution.csv.",Low-frequency states are grouped for publication in line with the aggregation rules in federal_state_distribution.csv. No federal state enters the regression models. The response option is spelled 'Sachen-Anhalt' in the questionnaire and therefore in the export; it denotes Sachsen-Anhalt and is left uncorrected so that the released file matches the instrument.
federal_state,Structural,raw column 9,In welchem Bundesland sind Sie tätig?,In which federal state do you practise?,"Nominal, 16 categories",,Berlin,Berlin,19,5.94,Single choice from the 16 German federal states.,None in the analytical sample.,"Section 4.1, chi-square goodness-of-fit test against Bundesärztekammer (2026); federal_state_distribution.csv.",Low-frequency states are grouped for publication in line with the aggregation rules in federal_state_distribution.csv. No federal state enters the regression models. The response option is spelled 'Sachen-Anhalt' in the questionnaire and therefore in the export; it denotes Sachsen-Anhalt and is left uncorrected so that the released file matches the instrument.
federal_state,Structural,raw column 9,In welchem Bundesland sind Sie tätig?,In which federal state do you practise?,"Nominal, 16 categories",,Hessen,Hessen,17,5.31,Single choice from the 16 German federal states.,None in the analytical sample.,"Section 4.1, chi-square goodness-of-fit test against Bundesärztekammer (2026); federal_state_distribution.csv.",Low-frequency states are grouped for publication in line with the aggregation rules in federal_state_distribution.csv. No federal state enters the regression models. The response option is spelled 'Sachen-Anhalt' in the questionnaire and therefore in the export; it denotes Sachsen-Anhalt and is left uncorrected so that the released file matches the instrument.
federal_state,Structural,raw column 9,In welchem Bundesland sind Sie tätig?,In which federal state do you practise?,"Nominal, 16 categories",,Schleswig-Holstein,Schleswig-Holstein,13,4.06,Single choice from the 16 German federal states.,None in the analytical sample.,"Section 4.1, chi-square goodness-of-fit test against Bundesärztekammer (2026); federal_state_distribution.csv.",Low-frequency states are grouped for publication in line with the aggregation rules in federal_state_distribution.csv. No federal state enters the regression models. The response option is spelled 'Sachen-Anhalt' in the questionnaire and therefore in the export; it denotes Sachsen-Anhalt and is left uncorrected so that the released file matches the instrument.
federal_state,Structural,raw column 9,In welchem Bundesland sind Sie tätig?,In which federal state do you practise?,"Nominal, 16 categories",,Brandenburg,Brandenburg,12,3.75,Single choice from the 16 German federal states.,None in the analytical sample.,"Section 4.1, chi-square goodness-of-fit test against Bundesärztekammer (2026); federal_state_distribution.csv.",Low-frequency states are grouped for publication in line with the aggregation rules in federal_state_distribution.csv. No federal state enters the regression models. The response option is spelled 'Sachen-Anhalt' in the questionnaire and therefore in the export; it denotes Sachsen-Anhalt and is left uncorrected so that the released file matches the instrument.
federal_state,Structural,raw column 9,In welchem Bundesland sind Sie tätig?,In which federal state do you practise?,"Nominal, 16 categories",,Hamburg,Hamburg,9,2.81,Single choice from the 16 German federal states.,None in the analytical sample.,"Section 4.1, chi-square goodness-of-fit test against Bundesärztekammer (2026); federal_state_distribution.csv.",Low-frequency states are grouped for publication in line with the aggregation rules in federal_state_distribution.csv. No federal state enters the regression models. The response option is spelled 'Sachen-Anhalt' in the questionnaire and therefore in the export; it denotes Sachsen-Anhalt and is left uncorrected so that the released file matches the instrument.
federal_state,Structural,raw column 9,In welchem Bundesland sind Sie tätig?,In which federal state do you practise?,"Nominal, 16 categories",,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,5,1.56,Single choice from the 16 German federal states.,None in the analytical sample.,"Section 4.1, chi-square goodness-of-fit test against Bundesärztekammer (2026); federal_state_distribution.csv.",Low-frequency states are grouped for publication in line with the aggregation rules in federal_state_distribution.csv. No federal state enters the regression models. The response option is spelled 'Sachen-Anhalt' in the questionnaire and therefore in the export; it denotes Sachsen-Anhalt and is left uncorrected so that the released file matches the instrument.
federal_state,Structural,raw column 9,In welchem Bundesland sind Sie tätig?,In which federal state do you practise?,"Nominal, 16 categories",,Sachen-Anhalt,Sachen-Anhalt,5,1.56,Single choice from the 16 German federal states.,None in the analytical sample.,"Section 4.1, chi-square goodness-of-fit test against Bundesärztekammer (2026); federal_state_distribution.csv.",Low-frequency states are grouped for publication in line with the aggregation rules in federal_state_distribution.csv. No federal state enters the regression models. The response option is spelled 'Sachen-Anhalt' in the questionnaire and therefore in the export; it denotes Sachsen-Anhalt and is left uncorrected so that the released file matches the instrument.
federal_state,Structural,raw column 9,In welchem Bundesland sind Sie tätig?,In which federal state do you practise?,"Nominal, 16 categories",,Thüringen,Thüringen,5,1.56,Single choice from the 16 German federal states.,None in the analytical sample.,"Section 4.1, chi-square goodness-of-fit test against Bundesärztekammer (2026); federal_state_distribution.csv.",Low-frequency states are grouped for publication in line with the aggregation rules in federal_state_distribution.csv. No federal state enters the regression models. The response option is spelled 'Sachen-Anhalt' in the questionnaire and therefore in the export; it denotes Sachsen-Anhalt and is left uncorrected so that the released file matches the instrument.
federal_state,Structural,raw column 9,In welchem Bundesland sind Sie tätig?,In which federal state do you practise?,"Nominal, 16 categories",,Saarland,Saarland,2,0.62,Single choice from the 16 German federal states.,None in the analytical sample.,"Section 4.1, chi-square goodness-of-fit test against Bundesärztekammer (2026); federal_state_distribution.csv.",Low-frequency states are grouped for publication in line with the aggregation rules in federal_state_distribution.csv. No federal state enters the regression models. The response option is spelled 'Sachen-Anhalt' in the questionnaire and therefore in the export; it denotes Sachsen-Anhalt and is left uncorrected so that the released file matches the instrument.
federal_state,Structural,raw column 9,In welchem Bundesland sind Sie tätig?,In which federal state do you practise?,"Nominal, 16 categories",,Bremen,Bremen,1,0.31,Single choice from the 16 German federal states.,None in the analytical sample.,"Section 4.1, chi-square goodness-of-fit test against Bundesärztekammer (2026); federal_state_distribution.csv.",Low-frequency states are grouped for publication in line with the aggregation rules in federal_state_distribution.csv. No federal state enters the regression models. The response option is spelled 'Sachen-Anhalt' in the questionnaire and therefore in the export; it denotes Sachsen-Anhalt and is left uncorrected so that the released file matches the instrument.
gender,Structural,raw column 10,Welchem Geschlecht ordnen Sie sich zu?,Which gender do you identify with?,"Nominal, two categories",0,weiblich,Female,163,50.94,Single choice.,None in the analytical sample.,Table 1; Table 3 (male); 06_nonresponse_bias.py.,No respondent in the analytical sample selected a category other than female or male. Female is the reference category in both regression models.
gender,Structural,raw column 10,Welchem Geschlecht ordnen Sie sich zu?,Which gender do you identify with?,"Nominal, two categories",1,männlich,Male,157,49.06,Single choice.,None in the analytical sample.,Table 1; Table 3 (male); 06_nonresponse_bias.py.,No respondent in the analytical sample selected a category other than female or male. Female is the reference category in both regression models.
setting,Structural,raw column 11,In welchem Umfeld arbeiten Sie hauptsächlich?,In which setting do you mainly work?,"Nominal, three categories after cleaning",1,Krankenhaus,Hospital,142,44.38,Inpatient and outpatient hospital settings were combined into 'Krankenhaus'; single and group practices were combined into 'Praxis'.,None in the analytical sample.,Table 1; Table 2; Table 3 (institutional); Figure 2; sample derivation.,"The 15 records answering 'Sonstige' (isolated responses from emergency medical services, public health authorities and comparable settings) were excluded because of insufficient cell counts for inferential testing; they are the difference between n = 335 and n = 320."
setting,Structural,raw column 11,In welchem Umfeld arbeiten Sie hauptsächlich?,In which setting do you mainly work?,"Nominal, three categories after cleaning",2,MVZ (Medizinisches Versorgungszentrum),Medical care centre,29,9.06,Inpatient and outpatient hospital settings were combined into 'Krankenhaus'; single and group practices were combined into 'Praxis'.,None in the analytical sample.,Table 1; Table 2; Table 3 (institutional); Figure 2; sample derivation.,"The 15 records answering 'Sonstige' (isolated responses from emergency medical services, public health authorities and comparable settings) were excluded because of insufficient cell counts for inferential testing; they are the difference between n = 335 and n = 320."
setting,Structural,raw column 11,In welchem Umfeld arbeiten Sie hauptsächlich?,In which setting do you mainly work?,"Nominal, three categories after cleaning",3,Praxis,Practice,149,46.56,Inpatient and outpatient hospital settings were combined into 'Krankenhaus'; single and group practices were combined into 'Praxis'.,None in the analytical sample.,Table 1; Table 2; Table 3 (institutional); Figure 2; sample derivation.,"The 15 records answering 'Sonstige' (isolated responses from emergency medical services, public health authorities and comparable settings) were excluded because of insufficient cell counts for inferential testing; they are the difference between n = 335 and n = 320."
setting,Structural,raw column 11,In welchem Umfeld arbeiten Sie hauptsächlich?,In which setting do you mainly work?,"Nominal, three categories after cleaning",,Sonstige,Other,,,Inpatient and outpatient hospital settings were combined into 'Krankenhaus'; single and group practices were combined into 'Praxis'.,None in the analytical sample.,Table 1; Table 2; Table 3 (institutional); Figure 2; sample derivation.,"The 15 records answering 'Sonstige' (isolated responses from emergency medical services, public health authorities and comparable settings) were excluded because of insufficient cell counts for inferential testing; they are the difference between n = 335 and n = 320."
experience_band,Structural,raw column 14,Wie viel Berufserfahrung haben Sie? (Gerechnet ab dem dritten Staatsexamen),How much professional experience do you have? (counted from the third state examination),"Ordinal, six bands",1,0-4 Jahre,0 to 4 years,59,18.44,"Single choice. 04_regression_main.py and 02_sample_descriptives.py map the bands to band midpoints (2.0, 7.0, 12.0, 17.0, 22.5, 25.0).",None in the analytical sample.,Not used in the models reported in the manuscript. Retained because the scripts in code/ read it.,"Collinear with age_band. Age, not experience, is the predictor reported in Table 3."
experience_band,Structural,raw column 14,Wie viel Berufserfahrung haben Sie? (Gerechnet ab dem dritten Staatsexamen),How much professional experience do you have? (counted from the third state examination),"Ordinal, six bands",2,5-9 Jahre,5 to 9 years,61,19.06,"Single choice. 04_regression_main.py and 02_sample_descriptives.py map the bands to band midpoints (2.0, 7.0, 12.0, 17.0, 22.5, 25.0).",None in the analytical sample.,Not used in the models reported in the manuscript. Retained because the scripts in code/ read it.,"Collinear with age_band. Age, not experience, is the predictor reported in Table 3."
experience_band,Structural,raw column 14,Wie viel Berufserfahrung haben Sie? (Gerechnet ab dem dritten Staatsexamen),How much professional experience do you have? (counted from the third state examination),"Ordinal, six bands",3,10-14 Jahre,10 to 14 years,31,9.69,"Single choice. 04_regression_main.py and 02_sample_descriptives.py map the bands to band midpoints (2.0, 7.0, 12.0, 17.0, 22.5, 25.0).",None in the analytical sample.,Not used in the models reported in the manuscript. Retained because the scripts in code/ read it.,"Collinear with age_band. Age, not experience, is the predictor reported in Table 3."
experience_band,Structural,raw column 14,Wie viel Berufserfahrung haben Sie? (Gerechnet ab dem dritten Staatsexamen),How much professional experience do you have? (counted from the third state examination),"Ordinal, six bands",4,15-19 Jahre,15 to 19 years,17,5.31,"Single choice. 04_regression_main.py and 02_sample_descriptives.py map the bands to band midpoints (2.0, 7.0, 12.0, 17.0, 22.5, 25.0).",None in the analytical sample.,Not used in the models reported in the manuscript. Retained because the scripts in code/ read it.,"Collinear with age_band. Age, not experience, is the predictor reported in Table 3."
experience_band,Structural,raw column 14,Wie viel Berufserfahrung haben Sie? (Gerechnet ab dem dritten Staatsexamen),How much professional experience do you have? (counted from the third state examination),"Ordinal, six bands",5,20-25 Jahre,20 to 25 years,28,8.75,"Single choice. 04_regression_main.py and 02_sample_descriptives.py map the bands to band midpoints (2.0, 7.0, 12.0, 17.0, 22.5, 25.0).",None in the analytical sample.,Not used in the models reported in the manuscript. Retained because the scripts in code/ read it.,"Collinear with age_band. Age, not experience, is the predictor reported in Table 3."
experience_band,Structural,raw column 14,Wie viel Berufserfahrung haben Sie? (Gerechnet ab dem dritten Staatsexamen),How much professional experience do you have? (counted from the third state examination),"Ordinal, six bands",6,>25 Jahre,More than 25 years,124,38.75,"Single choice. 04_regression_main.py and 02_sample_descriptives.py map the bands to band midpoints (2.0, 7.0, 12.0, 17.0, 22.5, 25.0).",None in the analytical sample.,Not used in the models reported in the manuscript. Retained because the scripts in code/ read it.,"Collinear with age_band. Age, not experience, is the predictor reported in Table 3."
ai_use_frequency,AI use,raw column 42,Nutzen Sie bereits KI-basierte Anwendungen in Ihrem beruflichen Alltag?,Do you already use AI-based applications in your professional practice?,Ordinal with two non-substantive categories,1,"Ja, regelmäßig (mehrfach pro Woche)","Yes, regularly (several times per week)",93,29.06,Single choice. Codes 1 to 3 are combined into 'any use' in Section 4.2.,Codes 6 and 7 are non-substantive and are not counted as use.,Section 4.2 (52.19 per cent any use).,"This item measures AI use as such, without reference to authorisation. It is a different construct from shadow_ai_item and the two percentages do not estimate the same quantity."
ai_use_frequency,AI use,raw column 42,Nutzen Sie bereits KI-basierte Anwendungen in Ihrem beruflichen Alltag?,Do you already use AI-based applications in your professional practice?,Ordinal with two non-substantive categories,2,"Ja, gelegentlich (einmal pro Woche)","Yes, occasionally (once per week)",42,13.12,Single choice. Codes 1 to 3 are combined into 'any use' in Section 4.2.,Codes 6 and 7 are non-substantive and are not counted as use.,Section 4.2 (52.19 per cent any use).,"This item measures AI use as such, without reference to authorisation. It is a different construct from shadow_ai_item and the two percentages do not estimate the same quantity."
ai_use_frequency,AI use,raw column 42,Nutzen Sie bereits KI-basierte Anwendungen in Ihrem beruflichen Alltag?,Do you already use AI-based applications in your professional practice?,Ordinal with two non-substantive categories,3,"Ja, selten/experimentell (einmal pro Monat)","Yes, rarely or experimentally (once per month)",32,10.00,Single choice. Codes 1 to 3 are combined into 'any use' in Section 4.2.,Codes 6 and 7 are non-substantive and are not counted as use.,Section 4.2 (52.19 per cent any use).,"This item measures AI use as such, without reference to authorisation. It is a different construct from shadow_ai_item and the two percentages do not estimate the same quantity."
ai_use_frequency,AI use,raw column 42,Nutzen Sie bereits KI-basierte Anwendungen in Ihrem beruflichen Alltag?,Do you already use AI-based applications in your professional practice?,Ordinal with two non-substantive categories,4,"Nein, aber geplant/Interesse vorhanden","No, but planned or of interest",79,24.69,Single choice. Codes 1 to 3 are combined into 'any use' in Section 4.2.,Codes 6 and 7 are non-substantive and are not counted as use.,Section 4.2 (52.19 per cent any use).,"This item measures AI use as such, without reference to authorisation. It is a different construct from shadow_ai_item and the two percentages do not estimate the same quantity."
ai_use_frequency,AI use,raw column 42,Nutzen Sie bereits KI-basierte Anwendungen in Ihrem beruflichen Alltag?,Do you already use AI-based applications in your professional practice?,Ordinal with two non-substantive categories,5,"Nein, und aktuell nicht geplant","No, and not currently planned",56,17.50,Single choice. Codes 1 to 3 are combined into 'any use' in Section 4.2.,Codes 6 and 7 are non-substantive and are not counted as use.,Section 4.2 (52.19 per cent any use).,"This item measures AI use as such, without reference to authorisation. It is a different construct from shadow_ai_item and the two percentages do not estimate the same quantity."
ai_use_frequency,AI use,raw column 42,Nutzen Sie bereits KI-basierte Anwendungen in Ihrem beruflichen Alltag?,Do you already use AI-based applications in your professional practice?,Ordinal with two non-substantive categories,6,Ich weiß es nicht/Bin mir unsicher,Do not know or unsure,13,4.06,Single choice. Codes 1 to 3 are combined into 'any use' in Section 4.2.,Codes 6 and 7 are non-substantive and are not counted as use.,Section 4.2 (52.19 per cent any use).,"This item measures AI use as such, without reference to authorisation. It is a different construct from shadow_ai_item and the two percentages do not estimate the same quantity."
ai_use_frequency,AI use,raw column 42,Nutzen Sie bereits KI-basierte Anwendungen in Ihrem beruflichen Alltag?,Do you already use AI-based applications in your professional practice?,Ordinal with two non-substantive categories,7,Keine Antwort,No answer,5,1.56,Single choice. Codes 1 to 3 are combined into 'any use' in Section 4.2.,Codes 6 and 7 are non-substantive and are not counted as use.,Section 4.2 (52.19 per cent any use).,"This item measures AI use as such, without reference to authorisation. It is a different construct from shadow_ai_item and the two percentages do not estimate the same quantity."
application_areas,AI use,raw column 43,Für welche der folgenden Bereiche nutzen Sie KI-Anwendungen? (Mehrfachnennungen möglich),For which of the following areas do you use AI applications? (multiple answers possible),"Multiple response, semicolon delimited",1,"Administrative Aufgaben (z.B. Dokumentation wie Arztbrief schreiben, Abrechnung, etc.)","Administrative tasks (for example documentation such as discharge letters, billing)",92,28.75,"Split on ';', trailing non-breaking spaces removed, empty tokens dropped. Percentages are shares of the analytical sample (n = 320), not of AI users, and do not sum to 100.",'keine Antwort' denotes that no area was selected.,Section 4.2; application_areas.csv.,Respondents could select several areas.
application_areas,AI use,raw column 43,Für welche der folgenden Bereiche nutzen Sie KI-Anwendungen? (Mehrfachnennungen möglich),For which of the following areas do you use AI applications? (multiple answers possible),"Multiple response, semicolon delimited",2,"Diagnostik und Befund (z.B. Bildanalyse, Mustererkennung, EKG-Auswertung etc.)","Diagnostics and findings (for example image analysis, pattern recognition, ECG interpretation)",78,24.38,"Split on ';', trailing non-breaking spaces removed, empty tokens dropped. Percentages are shares of the analytical sample (n = 320), not of AI users, and do not sum to 100.",'keine Antwort' denotes that no area was selected.,Section 4.2; application_areas.csv.,Respondents could select several areas.
application_areas,AI use,raw column 43,Für welche der folgenden Bereiche nutzen Sie KI-Anwendungen? (Mehrfachnennungen möglich),For which of the following areas do you use AI applications? (multiple answers possible),"Multiple response, semicolon delimited",3,"Behandlungsplanung und Therapieentscheidungen (z.B. Mediaktionsmanagement, personalisierte Therapieempfehlungen)","Treatment planning and therapeutic decisions (for example medication management, personalised therapy recommendations)",60,18.75,"Split on ';', trailing non-breaking spaces removed, empty tokens dropped. Percentages are shares of the analytical sample (n = 320), not of AI users, and do not sum to 100.",'keine Antwort' denotes that no area was selected.,Section 4.2; application_areas.csv.,Respondents could select several areas.
application_areas,AI use,raw column 43,Für welche der folgenden Bereiche nutzen Sie KI-Anwendungen? (Mehrfachnennungen möglich),For which of the following areas do you use AI applications? (multiple answers possible),"Multiple response, semicolon delimited",4,"Forschung (z.B. Datenanalyse, Literaturrecherche, Simulationen)","Research (for example data analysis, literature search, simulations)",49,15.31,"Split on ';', trailing non-breaking spaces removed, empty tokens dropped. Percentages are shares of the analytical sample (n = 320), not of AI users, and do not sum to 100.",'keine Antwort' denotes that no area was selected.,Section 4.2; application_areas.csv.,Respondents could select several areas.
application_areas,AI use,raw column 43,Für welche der folgenden Bereiche nutzen Sie KI-Anwendungen? (Mehrfachnennungen möglich),For which of the following areas do you use AI applications? (multiple answers possible),"Multiple response, semicolon delimited",5,"Patientenkommunikation und Service (z.B. Chatbots, Terminvereinbarung, automatisierte Anamnese-Tools)","Patient communication and service (for example chatbots, appointment scheduling, automated history-taking tools)",36,11.25,"Split on ';', trailing non-breaking spaces removed, empty tokens dropped. Percentages are shares of the analytical sample (n = 320), not of AI users, and do not sum to 100.",'keine Antwort' denotes that no area was selected.,Section 4.2; application_areas.csv.,Respondents could select several areas.
application_areas,AI use,raw column 43,Für welche der folgenden Bereiche nutzen Sie KI-Anwendungen? (Mehrfachnennungen möglich),For which of the following areas do you use AI applications? (multiple answers possible),"Multiple response, semicolon delimited",0,keine Antwort,No answer,154,48.12,"Split on ';', trailing non-breaking spaces removed, empty tokens dropped. Percentages are shares of the analytical sample (n = 320), not of AI users, and do not sum to 100.",'keine Antwort' denotes that no area was selected.,Section 4.2; application_areas.csv.,Respondents could select several areas.
tool_provision,Governance,raw column 37,Stellt Ihnen Ihr Arbeitgeber KI-gestützte Anwendungen zur Verfügung?,Does your employer provide you with AI-based applications?,"Nominal, three categories",1,Ja,Yes,98,30.63,"Binarised into gov_ai_tools: 'Ja' = 1, all other responses = 0.",None in the analytical sample.,Table 3 (AI provision by employer); governance_index; Figure 2.,"'Weiß ich nicht' is coded 0 on the reasoning that a measure unknown to the physician cannot shape their behaviour and is, for the present purpose, functionally absent. This decision is stated in Section 4.3 and is examined in the sensitivity report."
tool_provision,Governance,raw column 37,Stellt Ihnen Ihr Arbeitgeber KI-gestützte Anwendungen zur Verfügung?,Does your employer provide you with AI-based applications?,"Nominal, three categories",0,Nein,No,179,55.94,"Binarised into gov_ai_tools: 'Ja' = 1, all other responses = 0.",None in the analytical sample.,Table 3 (AI provision by employer); governance_index; Figure 2.,"'Weiß ich nicht' is coded 0 on the reasoning that a measure unknown to the physician cannot shape their behaviour and is, for the present purpose, functionally absent. This decision is stated in Section 4.3 and is examined in the sensitivity report."
tool_provision,Governance,raw column 37,Stellt Ihnen Ihr Arbeitgeber KI-gestützte Anwendungen zur Verfügung?,Does your employer provide you with AI-based applications?,"Nominal, three categories",0,Weiß ich nicht / Kann ich nicht einschätzen,Do not know or cannot say,43,13.44,"Binarised into gov_ai_tools: 'Ja' = 1, all other responses = 0.",None in the analytical sample.,Table 3 (AI provision by employer); governance_index; Figure 2.,"'Weiß ich nicht' is coded 0 on the reasoning that a measure unknown to the physician cannot shape their behaviour and is, for the present purpose, functionally absent. This decision is stated in Section 4.3 and is examined in the sensitivity report."
training,Governance,raw column 45,Hatten Sie im beruflichen Kontext bereits Schulungen spezifisch zum Thema KI erhalten?,Have you already received training specifically on AI in a professional context?,Binary,1,Ja,Yes,59,18.44,"Binarised into gov_training: 'Ja' = 1, 'Nein' = 0.",None in the analytical sample.,Table 3 (AI-specific training); governance_index; Figure 2.,No 'do not know' option was offered for this item.
training,Governance,raw column 45,Hatten Sie im beruflichen Kontext bereits Schulungen spezifisch zum Thema KI erhalten?,Have you already received training specifically on AI in a professional context?,Binary,0,Nein,No,261,81.56,"Binarised into gov_training: 'Ja' = 1, 'Nein' = 0.",None in the analytical sample.,Table 3 (AI-specific training); governance_index; Figure 2.,No 'do not know' option was offered for this item.
training_mode,Governance,raw column 46,Welche Art von KI-Schulung war das? (Mehrfachnennung möglich),What kind of AI training was it? (multiple answers possible),"Multiple response, semicolon delimited, filtered",1,Kurzvortrag/Informationsveranstaltung (<2 Stunden),Short presentation or information session (less than 2 hours),38,11.88,Displayed only to respondents answering 'Ja' to training (n = 59 in the analytical sample). Split on ';'.,Structurally missing for the 261 respondents without training.,"Section 4.3 (short presentations, n = 38, 64.41 per cent of those trained).",Percentages in this row block are shares of the analytical sample. Percentages reported in Section 4.3 are shares of the 59 trained respondents. One free-text response was recorded.
training_mode,Governance,raw column 46,Welche Art von KI-Schulung war das? (Mehrfachnennung möglich),What kind of AI training was it? (multiple answers possible),"Multiple response, semicolon delimited, filtered",2,Online-Modul/E-learning,Online module or e-learning,25,7.81,Displayed only to respondents answering 'Ja' to training (n = 59 in the analytical sample). Split on ';'.,Structurally missing for the 261 respondents without training.,"Section 4.3 (short presentations, n = 38, 64.41 per cent of those trained).",Percentages in this row block are shares of the analytical sample. Percentages reported in Section 4.3 are shares of the 59 trained respondents. One free-text response was recorded.
